time,nkill
2000-1,344
2000-2,334
2000-3,484
2000-4,101
2000-5,256
2000-6,276
2000-7,396
2000-8,237
2000-9,639
2000-10,420
2000-11,398
2000-12,472
2001-1,505
2001-2,273
2001-3,372
2001-4,469
2001-5,192
2001-6,224
2001-7,243
2001-8,980
2001-9,3379
2001-10,236
2001-11,389
2001-12,318
2002-1,301
2002-2,322
2002-3,254
2002-4,614
2002-5,1095
2002-6,274
2002-7,281
2002-8,365
2002-9,207
2002-10,592
2002-11,239
2002-12,195
2003-1,377
2003-2,273
2003-3,238
2003-4,280
2003-5,395
2003-6,238
2003-7,325
2003-8,314
2003-9,215
2003-10,136
2003-11,271
2003-12,116
2004-1,285
2004-2,535
2004-3,1132
2004-4,312
2004-5,305
2004-6,688
2004-7,301
2004-8,306
2004-9,669
2004-10,562
2004-11,206
2004-12,416
2005-1,417
2005-2,414
2005-3,363
2005-4,335
2005-5,938
2005-6,448
2005-7,1050
2005-8,430
2005-9,632
2005-10,538
2005-11,445
2005-12,222
2006-1,546
2006-2,785
2006-3,544
2006-4,831
2006-5,754
2006-6,480
2006-7,1020
2006-8,942
2006-9,528
2006-10,933
2006-11,1000
2006-12,943
2007-1,733
2007-2,1117
2007-3,1658
2007-4,1264
2007-5,737
2007-6,1201
2007-7,1328
2007-8,931
2007-9,644
2007-10,854
2007-11,1261
2007-12,812
2008-1,925
2008-2,727
2008-3,705
2008-4,710
2008-5,919
2008-6,728
2008-7,743
2008-8,825
2008-9,416
2008-10,613
2008-11,687
2008-12,894
2009-1,459
2009-2,543
2009-3,562
2009-4,795
2009-5,762
2009-6,897
2009-7,1171
2009-8,1019
2009-9,578
2009-10,842
2009-11,488
2009-12,725
2010-1,403
2010-2,717
2010-3,575
2010-4,612
2010-5,816
2010-6,491
2010-7,942
2010-8,775
2010-9,656
2010-10,475
2010-11,589
2010-12,615
